Minerds Bell Consultancy Group - Analysis of North FUA - 07-11-2025,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11
,,,,,,,,,,,
,Product,MyNorth Investment,MyNorth Lifetime Income,MyNorth Pension,MyNorth Super,North Investment,North Personal Pension,North Personal Superannuation,Total,,
,,,,,,,,,,,
Cash / TDs,Investment ,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA$,FUA $,% of total FUA
,Perpetual Concentrated Equity Fund,580578.54,9180.42,1688612.5,588716.73,131203.87,101976.58,47734.13,3148002.77,,
,Perpetual Geared Australian Share Fund,,,,13368.61,29553.79,,,42922.4,,
,Perpetual Industrial Share Fund,,,,92809.42,,,,92809.42,,
,Perpetual Limited Ordinary Fully Paid,,,27001.5,,,,,27001.5,,
,PIMCO Australian Bond Fund - Wholesale Class,12855.9,,,,,,,12855.9,,
,PIMCO Diversified Fixed Interest Fund,5238.36,,481602.64,164053.11,,,,650894.11,,
,PIMCO Global Bond Fund - Wholesale Class,,,11720.76,86938.98,,,977.76,99637.5,,
,Platinum Asia Fund ,160594.37,,565798.53,586690.67,,14117.78,,1327201.35,,
,Platinum European Fund,38318.75,,,,40215.39,,,78534.14,,
,Platinum International Brands Fund,,,,23228.39,,,,23228.39,,
,Platinum International Fund,71126.9,,109475.65,510115.37,,,31043.48,721761.4,,
